,SALEDATE,PRICE
107582,2007-09-13,199900.0
107583,2017-02-08,49400.0
107584,2015-01-21,55000.0
107585,2007-06-18,179900.0
107586,2008-04-17,197000.0
107587,2007-04-23,139900.0
107588,2007-04-06,179900.0
107589,2007-05-19,179900.0
107590,2007-04-02,139900.0
107592,2008-04-23,178500.0
107593,2006-05-08,175000.0
107594,2013-03-05,85000.0
107595,1997-07-30,41250.0
107596,1997-05-08,38000.0
107599,2016-04-05,47945.0
107600,2007-07-26,140000.0
107602,2013-04-11,73500.0
107605,2006-04-24,295000.0
107606,2018-02-21,290000.0
107607,2014-04-14,126000.0
107608,2001-07-18,14900.0
107610,2007-02-20,190000.0
107611,2016-05-13,62000.0
107612,2008-12-11,80000.0
107614,2004-06-23,3523.0
107617,2005-11-14,169000.0
107618,2009-05-29,101100.0
107619,2016-10-03,49000.0
107620,2005-05-09,108000.0
107621,2005-12-20,235000.0
107623,2005-10-21,119000.0
107625,2010-01-13,24500.0
107626,2002-02-22,50000.0
107627,2011-10-17,16077.0
107629,2002-01-22,50000.0
107631,2010-02-26,63800.0
107632,2006-07-27,199000.0
107633,2006-08-16,195000.0
107634,2018-01-09,49000.0
107635,2014-01-08,43000.0
107636,2007-03-13,134000.0
107638,2000-08-25,18050.0
107639,2007-09-25,260000.0
107640,2011-09-01,32025.0
107641,2007-06-26,69900.0
107642,2007-07-23,260000.0
107643,2016-12-29,28000.0
107644,2007-04-13,195000.0
107645,2011-07-08,42500.0
107646,2017-02-22,188300.0
107649,2011-05-04,21000.0
107650,2007-10-03,120000.0
107651,2013-09-04,150000.0
107652,2007-11-13,120000.0
107653,2007-04-11,230900.0
107654,2013-08-06,45000.0
107655,2014-05-14,1525000.0
107656,2014-05-14,1525000.0
107657,2014-05-14,1525000.0
107658,2009-11-04,154912.0
107659,2014-05-14,1525000.0
107660,2018-07-06,235000.0
107661,2014-05-14,1525000.0
107662,2014-05-14,1525000.0
107663,2014-05-14,1525000.0
107664,2014-05-14,1525000.0
107665,2014-05-14,1525000.0
107666,2014-05-14,1525000.0
107667,2009-12-21,113278.0
107668,2017-07-19,215900.0
107669,2014-05-14,1525000.0
107670,2017-04-13,210000.0
107671,2018-05-18,197900.0
107672,2017-02-06,210900.0
107673,2017-12-19,185000.0
107674,2017-11-30,209900.0
107675,2018-04-23,199000.0
107676,2017-08-28,220000.0
107677,2018-03-05,190000.0
107678,2016-06-06,205000.0
107679,2017-06-21,192000.0
107680,2007-03-28,245000.0
107681,2016-07-29,249000.0
107682,2007-02-22,155000.0
107683,2007-04-19,152000.0
107684,2007-02-21,249500.0
107685,2007-03-28,230000.0
107686,2007-05-21,150000.0
107687,2007-06-13,148000.0
107688,2007-03-12,250000.0
107689,2007-05-10,244110.0
107690,2017-08-28,138000.0
107691,1992-11-30,87500.0
107692,2009-09-08,262252.0
107694,2004-01-23,200600.0
107695,2001-05-07,164250.0
107696,2011-02-28,525000.0
107698,2017-08-04,235000.0
107700,1992-03-05,48500.0
107701,1993-07-21,70000.0
107702,2000-06-20,129900.0
107705,2010-08-23,440000.0
107706,2013-04-05,727000.0
107707,2008-02-01,775000.0
107708,2011-07-21,794000.0
107709,2013-11-26,283000.0
107710,2018-06-14,580000.0
107712,2000-04-18,57927.0
107713,2000-06-06,56013.0
107715,2000-06-06,65093.0
107716,2000-03-06,136641.0
107719,2008-09-17,234000.0
107720,2004-06-01,459000.0
107723,2016-03-24,210000.0
107724,2000-05-01,80280.0
107725,2000-06-13,65407.0
107726,2017-07-26,404000.0
107727,2010-03-03,486000.0
107728,2018-03-02,399999.0
107731,2005-10-07,540000.0
107732,2012-10-31,530000.0
107733,2017-04-05,1299000.0
107734,2017-03-29,1250000.0
107735,1996-06-19,85000.0
107736,2000-10-02,128000.0
107740,2011-12-08,275000.0
107741,2013-04-26,490000.0
107742,2004-10-27,190350.0
107743,2018-01-29,329100.0
107744,2004-11-05,223200.0
107745,2005-06-24,238000.0
107746,2015-06-19,272000.0
107747,2007-07-16,210000.0
107748,2004-11-16,341600.0
107749,2006-10-05,270000.0
107751,2005-12-27,499200.0
107752,2005-12-27,482200.0
107753,2005-12-27,452700.0
107754,2015-12-21,305000.0
107755,2017-01-26,265000.0
107757,2017-08-16,290000.0
107758,2015-03-11,650000.0
107759,2012-07-30,500000.0
107760,2016-07-08,590000.0
107761,2018-03-14,575000.0
107763,2015-11-17,343500.0
107764,1999-02-01,47500.0
107767,2006-06-19,399000.0
107768,2008-06-06,365000.0
107769,2014-04-28,471500.0
107770,2006-06-19,340000.0
107771,2015-07-07,517500.0
107772,2014-06-17,482000.0
107773,2010-02-23,255000.0
107774,2006-12-11,399900.0
107775,2010-10-22,281000.0
107776,2016-11-04,390000.0
107777,2012-10-26,370000.0
107779,2012-09-28,360000.0
107780,2006-12-07,417000.0
107781,2013-09-10,235000.0
107783,2017-03-27,834000.0
107784,2014-09-19,610000.0
107785,2014-07-11,715000.0
107786,2016-05-31,378884.0
107788,2018-06-18,380000.0
107789,2010-05-28,392000.0
107790,2016-07-08,375000.0
107791,2014-06-16,490000.0
107792,2010-05-25,303000.0
107794,2017-04-05,479900.0
107795,2017-06-27,449900.0
107796,2017-04-05,479900.0
107797,2017-04-05,499900.0
107798,2017-03-20,600000.0
107799,2015-07-24,623500.0
107800,2018-03-02,796400.0
107801,2006-09-22,533875.0
107802,2016-05-18,799900.0
107803,2006-09-27,601770.0
107804,2013-03-08,515000.0
107805,2007-03-28,559000.0
107806,2017-04-18,799900.0
107807,2016-06-02,629900.0
107808,2012-08-16,665000.0
107809,2016-05-27,620500.0
107810,2006-09-18,641590.0
107811,2015-05-07,349900.0
107812,2015-03-04,369900.0
107813,2017-08-25,499000.0
107814,2015-02-24,449900.0
107815,2015-06-29,645000.0
107817,2016-12-29,459900.0
107818,2016-12-29,325000.0
107819,2017-01-04,327500.0
107821,2017-06-06,449900.0
107822,2017-10-17,243400.0
107823,2018-07-11,349900.0
107824,2017-12-11,116200.0
107825,2017-01-06,479900.0
107826,2017-11-08,460000.0
107827,2017-04-21,319900.0
107828,2017-03-06,329900.0
107829,2017-12-01,117500.0
107830,2017-09-28,219100.0
107831,2010-05-19,550000.0
107832,2002-08-26,410000.0
107833,2014-04-29,625000.0
107834,2014-08-26,292000.0
107838,2017-05-15,695000.0
107842,2013-08-09,209000.0
107843,2002-10-28,169000.0
107845,2017-05-30,249900.0
107846,2017-09-29,247500.0
107849,2003-02-06,395000.0
107850,2004-03-12,349000.0
107851,2015-12-29,257000.0
107853,2014-08-04,333000.0
107854,2012-07-06,259900.0
107857,2017-10-03,262000.0
107858,2010-06-24,239000.0
107859,1999-04-02,34900.0
107861,2018-01-05,286001.0
107862,2014-05-05,269000.0
107863,2009-01-09,270000.0
107865,2002-04-22,100000.0
107866,2012-05-07,269000.0
107869,2004-10-14,263910.0
107873,2012-07-12,265000.0
107874,2002-01-22,150834.0
107875,2009-11-25,239500.0
107876,2016-09-20,265200.0
107878,2002-01-14,220000.0
107880,2015-06-16,305000.0
107881,2001-11-28,190000.0
107882,2014-10-21,259000.0
107883,2015-06-11,220000.0
107884,2001-04-03,137500.0
107885,2010-05-10,255000.0
107886,2015-04-30,390000.0
107888,2017-10-19,389000.0
107889,2004-07-19,271000.0
107893,2015-11-10,314000.0
107896,1994-12-09,82297.0
107897,2014-09-11,377500.0
107898,2015-12-15,274500.0
107900,2017-05-11,365000.0
107901,2002-05-07,180000.0
107904,2002-08-09,240000.0
107905,2007-04-19,450000.0
107906,2015-12-01,550000.0
107907,2002-12-19,360000.0
107908,2018-05-01,395000.0
107911,2014-06-16,609000.0
107912,2002-03-21,185000.0
107914,2007-09-26,255000.0
107915,2017-10-02,271400.0
107916,2017-02-24,290000.0
107917,2000-02-15,68000.0
107918,2016-09-19,229000.0
